1
13 NVM,245.18,6466.06,6719.13,3982.82,6688.43,6691.87,6784.86,6861.18,6734.77,7554.26
14 NVM,245.41,6145.67,6915.00,6844.25,6803.16,6453.30,4597.24,5549.87,6665.06,7543.04
15 NVM,245.20,4804.17,6780.73,6882.37,6756.99,6733.13,6842.82,6728.88,6816.66,6905.42
10
0 DRAM,2216.62,8258.62,8253.55,8240.45,8258.27,8278.87,8444.48,8714.45,10008.39,10823.68
1 DRAM,2243.26,8325.57,8285.95,8268.52,8293.89,8312.90,8439.61,8749.20,9840.82,10910.04
2 DRAM,3244.58,11007.99,9214.04,8226.13,8316.58,8318.04,8204.46,8222.80,8746.80,8772.37
3 DRAM,3240.76,10949.76,9422.41,8305.60,8298.46,8291.91,8307.07,8303.15,8617.91,8768.89
4 DRAM,2288.83,8499.42,8334.21,8322.85,8335.32,8354.92,8425.93,8804.22,9491.16,10846.86
5 DRAM,3230.61,10760.42,9274.66,8144.68,8171.43,8178.37,8134.46,8126.45,3447.04,10835.49
6 NVM,210.91,4887.23,6526.00,6300.30,6373.38,6279.80,3580.02,6304.94,6458.41,7081.40
7 NVM,210.53,4382.24,6382.42,6290.49,6357.31,6307.24,6352.94,6294.92,6344.04,6439.33
8 NVM,210.89,5578.28,3706.41,6302.29,6373.92,6328.96,6374.58,6308.08,6432.37,6788.84
9 NVM,210.54,4605.43,6421.60,6278.42,6244.00,6311.86,6344.88,6273.97,6337.72,4533.05
10 NVM,211.06,3926.34,6355.79,6283.13,6348.60,6293.27,6342.26,6279.53,6350.69,6480.64
11 NVM,210.75,3815.04,6360.11,6290.20,6366.94,6314.30,6360.97,6304.15,6394.76,6574.16
12 NVM,210.59,5116.04,6537.95,6298.69,3597.48,6323.39,6363.37,6294.65,6451.84,7037.58
13 NVM,210.74,4217.70,6368.33,6288.10,6352.48,6310.82,6350.95,6291.56,6236.45,6381.01
14 NVM,210.68,4032.81,6328.83,6193.23,6383.08,6207.54,6382.31,6225.54,6396.63,6541.67
15 NVM,210.53,4765.47,6480.70,6307.01,6261.32,6322.94,6374.35,6249.07,3724.68,7173.80
11
0 DRAM,2250.59,9287.79,9268.42,9277.03,9280.04,9481.26,9485.91,9887.96,10614.02,11105.63
1 DRAM,2265.55,9353.11,9309.14,9318.90,9318.41,9502.83,9531.13,9937.75,10599.12,11145.00
2 DRAM,3311.12,11112.41,10274.92,9084.50,9258.51,9263.22,9266.02,7557.04,3942.24,11235.71
3 DRAM,3304.26,11069.45,10209.89,9348.47,9314.89,9330.10,9324.39,9639.95,9671.77,9949.32
4 DRAM,3314.39,11113.89,10278.28,9390.16,9343.40,9371.69,9357.39,9674.51,9717.58,10030.47
5 NVM,188.05,4005.57,6045.97,6032.32,5940.16,5903.93,5896.49,5891.36,5875.01,5992.67
6 NVM,187.96,5443.94,4027.82,6033.96,5917.97,5935.60,5892.71,5900.80,5880.56,6193.82
7 NVM,188.03,5037.96,5938.92,6016.22,5979.94,5859.43,4628.48,4140.24,5815.07,6818.14
8 NVM,188.01,3696.88,6053.18,6039.92,5924.81,5956.57,5902.08,5906.91,5892.73,6206.77
9 NVM,187.94,5386.90,5991.75,5902.25,4208.69,4548.36,5845.80,5932.76,5828.67,6674.82
10 NVM,187.99,4312.85,6072.50,6051.42,5987.22,5866.78,5924.87,5857.37,5902.81,5919.78
11 NVM,187.96,4120.27,6039.27,6027.80,5950.23,5899.57,5913.42,5885.51,5756.68,5995.05
12 NVM,188.10,5592.71,6164.47,3454.84,5903.21,5975.54,5878.66,5934.61,5867.68,6514.60
13 NVM,188.34,4769.88,6088.56,5957.39,6001.97,5888.00,5981.13,5877.73,5850.92,5503.29
14 NVM,188.13,3882.92,6059.74,6055.03,5815.41,5936.59,5916.33,5915.50,5890.04,5980.19
15 NVM,188.07,4526.97,6043.55,6025.80,5960.92,5868.13,5948.47,5861.88,5877.15,5843.94
12
0 DRAM,2276.41,10637.16,10645.95,10643.53,10647.42,10646.15,10664.12,10661.83,10859.67,10974.68
1 DRAM,3375.90,11026.11,10898.67,10723.21,10718.69,10711.95,10712.09,10714.74,10722.34,10459.43
